epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1514.35,0.77146,0.4711,1.02185,0.62568,0.65376,0.64671,0.39145,1.34407,1.02805,1.48435,0.000481543,0.000481543,0.000481543
97,1524.56,0.79113,0.47406,1.03519,0.6578,0.67782,0.66903,0.39999,1.32489,0.90961,1.48139,0.000477043,0.000477043,0.000477043
98,1534.9,0.78104,0.47386,1.02749,0.66954,0.70163,0.66853,0.41197,1.31585,0.84023,1.48074,0.000472544,0.000472544,0.000472544
99,1545.1,0.76141,0.45945,1.00914,0.64841,0.69441,0.65648,0.39999,1.31934,0.8951,1.48384,0.000468044,0.000468044,0.000468044
100,1555.34,0.75701,0.45703,1.02833,0.66327,0.68531,0.65662,0.40363,1.33725,0.86676,1.50565,0.000463545,0.000463545,0.000463545
101,1565.61,0.76712,0.47443,1.0108,0.67231,0.70068,0.65146,0.39842,1.28975,0.83921,1.46697,0.000459045,0.000459045,0.000459045
102,1575.89,0.75628,0.44652,0.99965,0.62065,0.70368,0.66258,0.41117,1.29754,0.91582,1.46016,0.000454545,0.000454545,0.000454545
103,1586.23,0.76307,0.46318,1.01265,0.68142,0.66572,0.66776,0.40886,1.30002,0.87998,1.47901,0.000450046,0.000450046,0.000450046
104,1596.52,0.74709,0.44681,1.00354,0.66744,0.68091,0.65334,0.40226,1.30636,0.86616,1.47228,0.000445546,0.000445546,0.000445546
105,1606.75,0.73848,0.43835,0.99926,0.64913,0.66167,0.64844,0.39424,1.31526,0.88673,1.4688,0.000441047,0.000441047,0.000441047
106,1616.97,0.76509,0.46193,1.01303,0.67288,0.64938,0.66179,0.41101,1.29934,0.86368,1.44169,0.000436547,0.000436547,0.000436547
107,1627.28,0.75203,0.45201,1.01085,0.6826,0.66044,0.67477,0.41126,1.29741,0.87163,1.44676,0.000432048,0.000432048,0.000432048
108,1637.35,0.73974,0.43759,0.99821,0.69182,0.66833,0.67504,0.40829,1.33535,0.9065,1.48274,0.000427548,0.000427548,0.000427548
109,1647.34,0.75773,0.45485,1.02087,0.71457,0.63448,0.66461,0.40697,1.32713,0.92918,1.49108,0.000423049,0.000423049,0.000423049
110,1657.44,0.74224,0.45222,1.01825,0.68004,0.67001,0.67905,0.41063,1.33653,0.92415,1.50446,0.000418549,0.000418549,0.000418549
111,1667.69,0.73501,0.43451,1.00499,0.66333,0.67837,0.66221,0.41128,1.32084,0.90359,1.48459,0.000414049,0.000414049,0.000414049
112,1677.89,0.72644,0.42246,0.9989,0.65038,0.6736,0.65739,0.40599,1.30965,0.92972,1.49255,0.00040955,0.00040955,0.00040955
113,1688.13,0.74216,0.43631,1.00134,0.66064,0.64684,0.65417,0.40061,1.32532,0.98144,1.48733,0.00040505,0.00040505,0.00040505
114,1698.43,0.71826,0.41859,0.99894,0.69121,0.64811,0.64902,0.39745,1.34801,0.98027,1.51067,0.000400551,0.000400551,0.000400551
115,1708.7,0.71329,0.43109,0.98863,0.68447,0.66289,0.64756,0.40575,1.30922,0.92927,1.47228,0.000396051,0.000396051,0.000396051
116,1719.03,0.72057,0.43242,1.00813,0.69232,0.67322,0.64888,0.39926,1.31161,0.91371,1.50073,0.000391552,0.000391552,0.000391552
117,1729.18,0.72707,0.42177,0.9939,0.69891,0.66564,0.65892,0.40426,1.33126,0.88794,1.52561,0.000387052,0.000387052,0.000387052
118,1739.39,0.70459,0.41253,0.99235,0.69236,0.66228,0.65593,0.40551,1.31492,0.89025,1.52807,0.000382553,0.000382553,0.000382553
119,1749.65,0.71029,0.42121,0.98765,0.681,0.66334,0.65851,0.39949,1.3155,0.94252,1.5149,0.000378053,0.000378053,0.000378053
120,1759.86,0.71735,0.4096,0.99782,0.68822,0.65246,0.65273,0.40172,1.3033,0.96284,1.48528,0.000373554,0.000373554,0.000373554
121,1770.11,0.70636,0.41332,0.99518,0.67487,0.66767,0.65645,0.4023,1.31814,0.96788,1.5165,0.000369054,0.000369054,0.000369054
122,1780.38,0.67533,0.4087,0.97876,0.7047,0.65557,0.67396,0.40518,1.31263,0.98682,1.50154,0.000364554,0.000364554,0.000364554
123,1790.66,0.71496,0.40735,0.98177,0.73277,0.66088,0.68229,0.40899,1.31368,0.9992,1.49929,0.000360055,0.000360055,0.000360055
124,1800.87,0.69779,0.41727,0.9716,0.70755,0.67017,0.66927,0.40122,1.31579,0.96058,1.50166,0.000355555,0.000355555,0.000355555
125,1811.04,0.67623,0.40019,0.97059,0.7021,0.66407,0.67694,0.40168,1.31789,0.93289,1.50638,0.000351056,0.000351056,0.000351056
126,1821.32,0.71711,0.41466,1.00019,0.66888,0.65688,0.66139,0.39999,1.29773,0.93474,1.50218,0.000346556,0.000346556,0.000346556
127,1831.52,0.69161,0.40236,0.97731,0.69224,0.65183,0.65879,0.40576,1.27354,0.92076,1.48571,0.000342057,0.000342057,0.000342057
128,1841.8,0.68547,0.40785,0.97628,0.68646,0.6655,0.67099,0.4117,1.30209,0.92929,1.49323,0.000337557,0.000337557,0.000337557
